  Time                 , V(U3:OUT)            
  4.055588116837e-02  ,4.448490459086e-02  
  4.065588116837e-02  ,5.219490602281e-02  
  4.075588116837e-02  ,5.969892934368e-02  
  4.085588116837e-02  ,6.696735956590e-02  
  4.095588116837e-02  ,7.397151154505e-02  
  4.105588116837e-02  ,8.068374308850e-02  
  4.115588116837e-02  ,8.707756406996e-02  
  4.125588116837e-02  ,9.312774100439e-02  
  4.135588116837e-02  ,9.881039662046e-02  
  4.145588116837e-02  ,1.041031040868e-01  
  4.155588116837e-02  ,1.089849754425e-01  
  4.165588116837e-02  ,1.134367442417e-01  
  4.175588116837e-02  ,1.174408413332e-01  
  4.185588116837e-02  ,1.209814644193e-01  
  4.195588116837e-02  ,1.240446402578e-01  
  4.205588116837e-02  ,1.266182798865e-01  
  4.215588116837e-02  ,1.286922263337e-01  
  4.225588116837e-02  ,1.302582946975e-01  
  4.235588116837e-02  ,1.313103043824e-01  
  4.245588116837e-02  ,1.318441036126e-01  
  4.255588116837e-02  ,1.318575857245e-01  
  4.265588116837e-02  ,1.313506975250e-01  
  4.275588116837e-02  ,1.303254394156e-01  
  4.285588116837e-02  ,1.287858576742e-01  
  4.295588116837e-02  ,1.267380283287e-01  
  4.305588116837e-02  ,1.241900331917e-01  
  4.315588116837e-02  ,1.211519280534e-01  
  4.325588116837e-02  ,1.176357029302e-01  
  4.335588116837e-02  ,1.136552347505e-01  
  4.345588116837e-02  ,1.092262326096e-01  
  4.355588116837e-02  ,1.043661757369e-01  
  4.365588116837e-02  ,9.909424459348e-02  
  4.375588116837e-02  ,9.343124504594e-02  
  4.385588116837e-02  ,8.739952637130e-02  
  4.395588116837e-02  ,8.102289303184e-02  
  4.405588116837e-02  ,7.432651068045e-02  
  4.415588116837e-02  ,6.733680689566e-02  
  4.425588116837e-02  ,6.008136676219e-02  
  4.435588116837e-02  ,5.258882430949e-02  
  4.445588116837e-02  ,4.488874910181e-02  
  4.455588116837e-02  ,3.701152980664e-02  
  4.465588116837e-02  ,2.898825424535e-02  
  4.475588116837e-02  ,2.085058660460e-02  
  4.485588116837e-02  ,1.263064253035e-02  
  4.495588116837e-02  ,4.360862437464e-03  
  4.505588116837e-02  ,-3.926116671061e-03  
  4.515588116837e-02  ,-1.219758989882e-02  
  4.525588116837e-02  ,-2.042091344795e-02  
  4.535588116837e-02  ,-2.856363368130e-02  
  4.545588116837e-02  ,-3.659361497591e-02  
  4.555588116837e-02  ,-4.447916666730e-02  
  4.565588116837e-02  ,-5.218916808239e-02  
  4.575588116837e-02  ,-5.969319139096e-02  
  4.585588116837e-02  ,-6.696162160594e-02  
  4.595588116837e-02  ,-7.396577356374e-02  
  4.605588116837e-02  ,-8.067800509295e-02  
  4.615588116837e-02  ,-8.707182607580e-02  
  4.625588116837e-02  ,-9.312200300645e-02  
  4.635588116837e-02  ,-9.880465864063e-02  
  4.645588116837e-02  ,-1.040973660695e-01  
  4.655588116837e-02  ,-1.089792374554e-01  
  4.665588116837e-02  ,-1.134310062566e-01  
  4.675588116837e-02  ,-1.174351033653e-01  
  4.685588116837e-02  ,-1.209757264426e-01  
  4.695588116837e-02  ,-1.240389022883e-01  
  4.705588116837e-02  ,-1.266125419314e-01  
  4.715588116837e-02  ,-1.286864883831e-01  
  4.725588116837e-02  ,-1.302525567306e-01  
  4.735588116837e-02  ,-1.313045664386e-01  
  4.745588116837e-02  ,-1.318383656746e-01  
  4.755588116837e-02  ,-1.318518478078e-01  
  4.765588116837e-02  ,-1.313449596075e-01  
  4.775588116837e-02  ,-1.303197015371e-01  
  4.785588116837e-02  ,-1.287801198011e-01  
  4.795588116837e-02  ,-1.267322904624e-01  
  4.805588116837e-02  ,-1.241842953528e-01  
  4.815588116837e-02  ,-1.211461902272e-01  
  4.825588116837e-02  ,-1.176299651152e-01  
  4.835588116837e-02  ,-1.136494969574e-01  
  4.845588116837e-02  ,-1.092204948164e-01  
  4.855588116837e-02  ,-1.043604379828e-01  
  4.865588116837e-02  ,-9.908850683942e-02  
  4.875588116837e-02  ,-9.342550731434e-02  
  4.885588116837e-02  ,-8.739378867422e-02  
  4.895588116837e-02  ,-8.101715534051e-02  
  4.905588116837e-02  ,-7.432077299792e-02  
  4.915588116837e-02  ,-6.733106915340e-02  
  4.925588116837e-02  ,-6.007562906292e-02  
  4.935588116837e-02  ,-5.258308655560e-02  
  4.945588116837e-02  ,-4.488301130988e-02  
  4.955588116837e-02  ,-3.700579200373e-02  
  4.965588116837e-02  ,-2.898251642408e-02  
  4.975588116837e-02  ,-2.084484879599e-02  
  4.985588116837e-02  ,-1.262490472195e-02  
  4.995588116837e-02  ,-4.355124602154e-03  
  5.005588116837e-02  ,3.931854532913e-03  
  5.015588116837e-02  ,1.220332775320e-02  
  5.025588116837e-02  ,2.042665133842e-02  
  5.035588116837e-02  ,2.856937158528e-02  
  5.045588116837e-02  ,3.659935289024e-02  
  5.055588116837e-02  ,4.448490458697e-02  
  5.065588116837e-02  ,5.219490602269e-02  
  5.075588116837e-02  ,5.969892933956e-02  
  5.085588116837e-02  ,6.696735956573e-02  
  5.095588116837e-02  ,7.397151153683e-02  
  5.105588116837e-02  ,8.068374309259e-02  
  5.115588116837e-02  ,8.707756406602e-02  
  5.125588116837e-02  ,9.312774100009e-02  
  5.135588116837e-02  ,9.881039662471e-02  
  5.145588116837e-02  ,1.041031040825e-01  
  5.155588116837e-02  ,1.089849754470e-01  
  5.165588116837e-02  ,1.134367442460e-01  
  5.175588116837e-02  ,1.174408413376e-01  
  5.185588116837e-02  ,1.209814644234e-01  
  5.195588116837e-02  ,1.240446402539e-01  
  5.205588116837e-02  ,1.266182798863e-01  
  5.215588116837e-02  ,1.286922263423e-01  
  5.225588116837e-02  ,1.302582946889e-01  
  5.235588116837e-02  ,1.313103043826e-01  
  5.245588116837e-02  ,1.318441036041e-01  
  5.255588116837e-02  ,1.318575857163e-01  
  5.265588116837e-02  ,1.313506975289e-01  
  5.275588116837e-02  ,1.303254394157e-01  
